"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 03 09:42:00 GMT 2023","Sun Dec 03 09:42:02 GMT 2023","2212","","tests.SearchTest","","tests.SearchTest","verifySearchReturnsNotEmptyResultsTest","verifySearchReturnsNotEmptyResultsTest(String) [3] Macbook",""
"passed","Sun Dec 03 09:41:50 GMT 2023","Sun Dec 03 09:41:52 GMT 2023","2143","","tests.SearchTest","","tests.SearchTest","verifySearchResultsTest","verifySearchResultsTest(String, List) Поиск по запросу iPhone 15 и сравнение результатов [iPhone 15 Pro and iPhone 15 Pro Max, iPhone 15 and iPhone 15 Plus]",""
"passed","Sun Dec 03 09:41:56 GMT 2023","Sun Dec 03 09:41:58 GMT 2023","1926","","tests.SearchTest","","tests.SearchTest","verifySearchReturnsNotEmptyResultsTest","verifySearchReturnsNotEmptyResultsTest(String) [1] Iphone 15",""
"passed","Sun Dec 03 09:41:52 GMT 2023","Sun Dec 03 09:41:54 GMT 2023","2442","","tests.SearchTest","","tests.SearchTest","verifySearchResultsTest","verifySearchResultsTest(String, List) Поиск по запросу MacBook и сравнение результатов [MacBook Pro, MacBook Air, Compare Mac models]",""
"passed","Sun Dec 03 09:41:48 GMT 2023","Sun Dec 03 09:41:50 GMT 2023","2151","","tests.SearchTest","","tests.SearchTest","verifyFirstSearchResultTest","verifyFirstSearchResultTest(String, String) Проверка первого результата MacBook Pro по запросу macbook",""
"passed","Sun Dec 03 09:41:54 GMT 2023","Sun Dec 03 09:41:56 GMT 2023","1982","","tests.SearchTest","","tests.SearchTest","verifySearchResultsTest","verifySearchResultsTest(String, List) Поиск по запросу AirPods и сравнение результатов [AirPods, AirPods (3rd generation), AirPods Pro (2nd generation)]",""
"passed","Sun Dec 03 09:41:58 GMT 2023","Sun Dec 03 09:42:00 GMT 2023","1390","","tests.SearchTest","","tests.SearchTest","verifySearchReturnsNotEmptyResultsTest","verifySearchReturnsNotEmptyResultsTest(String) [2] AirPods",""
"passed","Sun Dec 03 09:41:41 GMT 2023","Sun Dec 03 09:41:46 GMT 2023","4910","","tests.SearchTest","","tests.SearchTest","verifyFirstSearchResultTest","verifyFirstSearchResultTest(String, String) Проверка первого результата iPhone 15 Pro and iPhone 15 Pro Max по запросу iPhone 15",""
"passed","Sun Dec 03 09:41:46 GMT 2023","Sun Dec 03 09:41:48 GMT 2023","2025","","tests.SearchTest","","tests.SearchTest","verifyFirstSearchResultTest","verifyFirstSearchResultTest(String, String) Проверка первого результата AirPods по запросу airpods",""
