"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 04 09:23:11 GMT 2024","Thu Apr 04 09:23:13 GMT 2024","1978","","tests.SearchTest","","tests.SearchTest","verifyFirstSearchResultTest","verifyFirstSearchResultTest(String, String) Проверка первого результата MacBook Pro по запросу macbook",""
"passed","Thu Apr 04 09:23:04 GMT 2024","Thu Apr 04 09:23:09 GMT 2024","4726","","tests.SearchTest","","tests.SearchTest","verifyFirstSearchResultTest","verifyFirstSearchResultTest(String, String) Проверка первого результата iPhone 15 Pro and iPhone 15 Pro Max по запросу iPhone 15",""
"passed","Thu Apr 04 09:23:23 GMT 2024","Thu Apr 04 09:23:24 GMT 2024","1119","","tests.SearchTest","","tests.SearchTest","verifySearchReturnsNotEmptyResultsTest","verifySearchReturnsNotEmptyResultsTest(String) [2] AirPods",""
"passed","Thu Apr 04 09:23:24 GMT 2024","Thu Apr 04 09:23:25 GMT 2024","1702","","tests.SearchTest","","tests.SearchTest","verifySearchReturnsNotEmptyResultsTest","verifySearchReturnsNotEmptyResultsTest(String) [3] Macbook",""
"passed","Thu Apr 04 09:23:16 GMT 2024","Thu Apr 04 09:23:19 GMT 2024","2314","","tests.SearchTest","","tests.SearchTest","verifySearchResultsTest","verifySearchResultsTest(String, List) Поиск по запросу MacBook и сравнение результатов [MacBook Pro, MacBook Air, Compare Mac models]",""
"passed","Thu Apr 04 09:23:09 GMT 2024","Thu Apr 04 09:23:11 GMT 2024","1922","","tests.SearchTest","","tests.SearchTest","verifyFirstSearchResultTest","verifyFirstSearchResultTest(String, String) Проверка первого результата AirPods по запросу airpods",""
"passed","Thu Apr 04 09:23:19 GMT 2024","Thu Apr 04 09:23:21 GMT 2024","1991","","tests.SearchTest","","tests.SearchTest","verifySearchResultsTest","verifySearchResultsTest(String, List) Поиск по запросу AirPods и сравнение результатов [AirPods, AirPods (3rd generation), AirPods Pro (2nd generation)]",""
"passed","Thu Apr 04 09:23:21 GMT 2024","Thu Apr 04 09:23:23 GMT 2024","1830","","tests.SearchTest","","tests.SearchTest","verifySearchReturnsNotEmptyResultsTest","verifySearchReturnsNotEmptyResultsTest(String) [1] Iphone 15",""
"passed","Thu Apr 04 09:23:13 GMT 2024","Thu Apr 04 09:23:16 GMT 2024","3418","","tests.SearchTest","","tests.SearchTest","verifySearchResultsTest","verifySearchResultsTest(String, List) Поиск по запросу iPhone 15 и сравнение результатов [iPhone 15 Pro and iPhone 15 Pro Max, iPhone 15 and iPhone 15 Plus]",""
